#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
lcl|NC_000913.3_prot_NP_414596.1_54	lcl|NC_017632.1_prot_WP_000746170.1_4505	784	784	100	100	784	99.235	1618
lcl|NC_000913.3_prot_NP_414597.1_55	lcl|NC_017632.1_prot_WP_001200560.1_4506	271	271	100	100	271	99.262	560
lcl|NC_000913.3_prot_NP_414600.1_58	lcl|NC_017632.1_prot_WP_000525162.1_4507	219	219	100	100	219	99.087	454
lcl|NC_000913.3_prot_NP_414601.1_59	lcl|NC_017632.1_prot_WP_001117011.1_4508	968	968	100	100	968	100.000	1991
lcl|NC_000913.3_prot_NP_414602.1_60	lcl|NC_017632.1_prot_WP_000035590.1_4509	783	783	100	100	783	98.340	1600
lcl|NC_000913.3_prot_NP_414603.1_61	lcl|NC_017632.1_prot_WP_000888700.1_4510	231	231	100	100	231	98.701	477
lcl|NC_000913.3_prot_NP_414604.1_62	lcl|NC_017632.1_prot_WP_000151734.1_4511	500	500	100	100	500	99.600	1043
lcl|NC_000913.3_prot_NP_414605.1_63	lcl|NC_017632.1_prot_WP_000951841.1_4512	566	566	100	100	566	98.763	1147
lcl|NC_000913.3_prot_NP_414606.1_64	lcl|NC_017632.1_prot_WP_001350361.1_4513	292	281	96	100	281	99.644	585
lcl|NC_000913.3_prot_NP_414607.1_65	lcl|NC_017632.1_prot_WP_001148427.1_4516	254	254	100	100	254	99.213	495
lcl|NC_000913.3_prot_NP_414608.1_66	lcl|NC_017632.1_prot_WP_000916269.1_4517	232	232	100	100	232	95.690	448
lcl|NC_000913.3_prot_NP_414609.1_67	lcl|NC_017632.1_prot_WP_000235675.1_4518	536	536	100	100	536	97.575	1035
lcl|NC_000913.3_prot_NP_414610.1_68	lcl|NC_017632.1_prot_WP_000913260.1_4519	327	327	100	100	327	97.554	657
lcl|NC_000913.3_prot_NP_414611.1_69	lcl|NC_017632.1_prot_WP_001314420.1_4520	551	551	100	100	551	98.730	1127
lcl|NC_000913.3_prot_YP_002791237.1_70	lcl|NC_017632.1_prot_WP_001248768.1_4521	43	43	98	98	42	85.714	78.6
lcl|NC_000913.3_prot_NP_414613.1_72	lcl|NC_017632.1_prot_WP_000818231.1_4522	201	201	99	99	200	99.000	413
lcl|NC_000913.3_prot_NP_414614.1_73	lcl|NC_017632.1_prot_WP_001140652.1_4523	466	466	100	100	466	100.000	966
lcl|NC_000913.3_prot_NP_414615.4_74	lcl|NC_017632.1_prot_WP_000042356.1_4524	363	363	100	100	363	99.725	744
lcl|NC_000913.3_prot_NP_414616.1_75	lcl|NC_017632.1_prot_WP_000082846.1_4525	523	523	100	100	523	99.809	1079
lcl|NC_000913.3_prot_NP_414617.1_76	lcl|NC_017632.1_prot_WP_001374869.1_4526	28	28	100	100	28	96.429	53.5
lcl|NC_000913.3_prot_NP_414618.4_77	lcl|NC_017632.1_prot_WP_001295767.1_4527	314	314	100	100	314	99.363	651
lcl|NC_000913.3_prot_YP_009518736.1_78	lcl|NC_017632.1_prot_WP_175058757.1_4528	14	12	86	100	12	100.000	28.1
lcl|NC_000913.3_prot_YP_025294.2_79	lcl|NC_017632.1_prot_WP_000425644.1_4529	574	574	100	100	574	98.780	1172
lcl|NC_000913.3_prot_NP_414620.1_80	lcl|NC_017632.1_prot_WP_001252744.1_4530	163	163	100	100	163	99.387	321
lcl|NC_000913.3_prot_NP_414622.1_81	lcl|NC_017632.1_prot_WP_000762401.1_4532	334	334	100	100	334	100.000	687
lcl|NC_000913.3_prot_NP_414623.1_82	lcl|NC_017632.1_prot_WP_001295770.1_4533	152	152	100	100	152	99.342	311
lcl|NC_000913.3_prot_NP_414624.1_83	lcl|NC_017632.1_prot_WP_000970479.1_4534	313	313	100	100	313	100.000	634
lcl|NC_000913.3_prot_NP_414625.1_84	lcl|NC_017632.1_prot_WP_000625658.1_4535	121	121	100	100	121	100.000	246
lcl|NC_000913.3_prot_NP_414626.1_85	lcl|NC_017632.1_prot_WP_000642208.1_4536	588	588	100	100	588	99.660	1199
lcl|NC_000913.3_prot_NP_414627.1_86	lcl|NC_017632.1_prot_WP_000785121.1_4537	495	495	100	100	495	99.192	1007
lcl|NC_000913.3_prot_NP_414628.1_87	lcl|NC_017632.1_prot_WP_000626679.1_4538	452	452	100	100	452	98.894	905
lcl|NC_000913.3_prot_NP_414629.1_88	lcl|NC_017632.1_prot_WP_000964131.1_4539	360	360	100	100	360	100.000	717
lcl|NC_000913.3_prot_NP_414630.1_89	lcl|NC_017632.1_prot_WP_000796460.1_4540	438	438	100	100	438	99.543	896
lcl|NC_000913.3_prot_NP_414631.1_90	lcl|NC_017632.1_prot_WP_001295532.1_4541	414	414	100	100	414	100.000	823
lcl|NC_000913.3_prot_NP_414632.1_91	lcl|NC_017632.1_prot_WP_000016562.1_4542	355	355	100	100	355	99.155	707
lcl|NC_000913.3_prot_NP_414633.1_92	lcl|NC_017632.1_prot_WP_001096048.1_4543	491	491	100	100	491	99.796	1003
lcl|NC_000913.3_prot_NP_414634.1_93	lcl|NC_017632.1_prot_WP_000130040.1_4544	306	306	100	100	306	98.693	614
lcl|NC_000913.3_prot_NP_414635.1_94	lcl|NC_017632.1_prot_WP_000075744.1_4545	276	276	100	100	276	99.638	564
lcl|NC_000913.3_prot_NP_414636.1_95	lcl|NC_017632.1_prot_WP_000588474.1_4546	420	420	100	100	420	100.000	855
lcl|NC_000913.3_prot_NP_414637.1_96	lcl|NC_017632.1_prot_WP_000462776.1_4547	383	383	100	100	383	100.000	763
lcl|NC_000913.3_prot_NP_414638.1_97	lcl|NC_017632.1_prot_WP_000595482.1_4548	305	305	100	100	305	100.000	634
lcl|NC_000913.3_prot_NP_414639.2_98	lcl|NC_017632.1_prot_WP_000014320.1_4549	170	170	100	100	170	99.412	347
lcl|NC_000913.3_prot_NP_414640.1_99	lcl|NC_017632.1_prot_4550	901	901	60	60	538	99.814	1113
lcl|NC_000913.3_prot_NP_414641.1_100	lcl|NC_017632.1_prot_WP_000736044.1_4551	129	132	100	98	129	97.674	259
lcl|NC_000913.3_prot_NP_414643.1_101	lcl|NC_017632.1_prot_WP_000005042.1_4552	65	65	100	100	65	100.000	134
lcl|NC_000913.3_prot_NP_414644.1_102	lcl|NC_017632.1_prot_WP_001194731.1_4553	247	247	100	100	247	99.595	501
lcl|NC_000913.3_prot_NP_414645.1_103	lcl|NC_017632.1_prot_WP_001269535.1_4554	206	206	100	100	206	99.515	416
lcl|NC_000913.3_prot_YP_009518737.1_104	lcl|NC_017632.1_prot_WP_120795372.1_4555	14	14	100	100	14	100.000	28.9
lcl|NC_000913.3_prot_NP_414646.1_105	lcl|NC_017632.1_prot_WP_001217338.1_4556	347	347	100	100	347	100.000	717
lcl|NC_000913.3_prot_NP_414648.1_106	lcl|NC_017632.1_prot_WP_000157254.1_4557	400	400	100	100	400	96.250	779
lcl|NC_000913.3_prot_NP_414649.1_107	lcl|NC_017632.1_prot_WP_001025178.1_4558	461	461	100	100	461	98.482	922
lcl|NC_000913.3_prot_NP_414650.1_108	lcl|NC_017632.1_prot_WP_000360914.1_4559	146	146	100	100	146	99.315	301
lcl|NC_000913.3_prot_NP_414651.1_109	lcl|NC_017632.1_prot_WP_001135168.1_4560	297	297	100	100	297	99.663	602
lcl|NC_000913.3_prot_NP_414652.1_110	lcl|NC_017632.1_prot_WP_000923703.1_4561	183	183	100	100	183	97.814	373
lcl|NC_000913.3_prot_NP_414653.1_111	lcl|NC_017632.1_prot_WP_000171983.1_4562	284	284	100	100	284	99.648	570
lcl|NC_000913.3_prot_NP_414654.1_112	lcl|NC_017632.1_prot_WP_000399017.1_4563	457	456	99	100	456	99.561	911
lcl|NC_000913.3_prot_NP_414655.1_113	lcl|NC_017632.1_prot_WP_000331776.1_4570	254	254	100	100	254	100.000	508
lcl|NC_000913.3_prot_NP_414656.1_114	lcl|NC_017632.1_prot_WP_000003823.1_4571	887	887	100	100	887	99.887	1845
lcl|NC_000913.3_prot_NP_414657.1_115	lcl|NC_017632.1_prot_WP_000963543.1_4572	630	630	100	100	630	99.683	1235
lcl|NC_000913.3_prot_NP_414658.1_116	lcl|NC_017632.1_prot_WP_000102485.1_4573	474	474	100	100	474	100.000	957
lcl|NC_000913.3_prot_NP_414659.1_117	lcl|NC_017632.1_prot_WP_000784410.1_4574	617	585	100	100	617	87.196	1041
lcl|NC_000913.3_prot_NP_414660.1_118	lcl|NC_017632.1_prot_WP_001295775.1_4575	865	865	100	100	865	99.769	1774
lcl|NC_000913.3_prot_NP_414661.2_119	lcl|NC_017632.1_prot_WP_000384306.1_4576	120	120	100	100	120	100.000	245
lcl|NC_000913.3_prot_NP_414662.1_120	lcl|NC_017632.1_prot_WP_000734302.1_4577	264	264	100	100	264	99.242	548
lcl|NC_000913.3_prot_NP_414663.1_121	lcl|NC_017632.1_prot_WP_000818405.1_4578	288	288	100	100	288	99.306	603
lcl|NC_000913.3_prot_NP_414664.4_122	lcl|NC_017632.1_prot_WP_001295568.1_4579	115	115	100	100	115	100.000	238
lcl|NC_000913.3_prot_NP_414665.1_123	lcl|NC_017632.1_prot_WP_001189635.1_4580	516	516	100	100	516	99.419	1061
lcl|NC_000913.3_prot_NP_414666.1_124	lcl|NC_017632.1_prot_WP_001332319.1_4581	796	796	100	100	796	99.497	1623
lcl|NC_000913.3_prot_NP_414667.4_125	lcl|NC_017632.1_prot_WP_000683335.1_4582	178	178	100	100	178	100.000	358
lcl|NC_000913.3_prot_NP_414668.1_126	lcl|NC_017632.1_prot_WP_000651600.1_4583	220	220	100	100	220	99.545	454
lcl|NC_000913.3_prot_NP_414669.1_127	lcl|NC_017632.1_prot_WP_000150638.1_4584	308	308	100	100	308	99.675	626
lcl|NC_000913.3_prot_NP_414670.1_128	lcl|NC_017632.1_prot_WP_000972203.1_4585	256	256	100	100	256	100.000	505
lcl|NC_000913.3_prot_NP_414671.1_129	lcl|NC_017632.1_prot_WP_000901993.1_4586	146	146	100	100	146	97.945	300
lcl|NC_000913.3_prot_NP_414672.1_130	lcl|NC_017632.1_prot_WP_000277928.1_4587	409	409	100	100	409	97.311	826
lcl|NC_000913.3_prot_NP_414673.1_131	lcl|NC_017632.1_prot_WP_000621515.1_4588	126	126	100	100	126	100.000	262
lcl|NC_000913.3_prot_NP_414674.1_132	lcl|NC_017632.1_prot_WP_000339931.1_4589	300	294	99	100	298	95.973	590
lcl|NC_000913.3_prot_NP_414675.1_133	lcl|NC_017632.1_prot_WP_000905380.1_4590	283	283	100	100	283	98.587	570
lcl|NC_000913.3_prot_NP_414676.1_134	lcl|NC_017632.1_prot_WP_000805462.1_4591	264	264	100	100	264	97.727	530
lcl|NC_000913.3_prot_NP_414678.1_136	lcl|NC_017632.1_prot_WP_001247917.1_4593	198	198	100	100	198	76.768	303
lcl|NC_000913.3_prot_NP_414680.4_138	lcl|NC_017632.1_prot_WP_000591065.1_4595	189	188	100	100	189	75.661	279
lcl|NC_000913.3_prot_NP_414681.1_139	lcl|NC_017632.1_prot_WP_000153311.1_4596	865	862	100	100	865	86.821	1580
lcl|NC_000913.3_prot_NP_414682.1_140	lcl|NC_017632.1_prot_WP_000465919.1_4597	246	246	100	100	246	85.366	447
lcl|NC_000913.3_prot_NP_414683.1_141	lcl|NC_017632.1_prot_WP_001314434.1_4598	194	196	100	100	196	86.224	325
lcl|NC_000913.3_prot_NP_414684.1_142	lcl|NC_017632.1_prot_WP_000215153.1_4599	159	159	100	100	159	89.308	294
lcl|NC_000913.3_prot_NP_414685.4_143	lcl|NC_017632.1_prot_WP_204082123.1_4600	465	465	100	100	465	99.785	957
lcl|NC_000913.3_prot_NP_414686.3_144	lcl|NC_017632.1_prot_WP_000937401.1_4601	308	308	100	100	308	97.078	617
lcl|NC_000913.3_prot_NP_414687.1_145	lcl|NC_017632.1_prot_WP_001155227.1_4602	151	151	100	100	151	100.000	311
lcl|NC_000913.3_prot_NP_414688.1_146	lcl|NC_017632.1_prot_WP_000396047.1_4603	234	234	100	100	234	98.718	485
lcl|NC_000913.3_prot_NP_414689.4_147	lcl|NC_017632.1_prot_WP_001294708.1_4604	176	176	100	100	176	98.864	355
lcl|NC_000913.3_prot_NP_414690.4_148	lcl|NC_017632.1_prot_WP_001362943.1_4605	809	809	100	100	809	97.651	1573
lcl|NC_000913.3_prot_NP_414691.1_149	lcl|NC_017632.1_prot_WP_000918171.1_4606	844	844	100	100	844	99.763	1724
lcl|NC_000913.3_prot_NP_414692.1_151	lcl|NC_017632.1_prot_WP_000035485.1_4607	747	747	100	100	747	99.465	1537
lcl|NC_000913.3_prot_NP_414693.1_152	lcl|NC_017632.1_prot_WP_001158929.1_4608	265	265	100	100	265	99.623	539
lcl|NC_000913.3_prot_NP_414694.1_153	lcl|NC_017632.1_prot_WP_001295787.1_4609	296	296	100	100	296	98.986	600
lcl|NC_000913.3_prot_NP_414695.1_154	lcl|NC_017632.1_prot_WP_000044111.1_4610	660	660	100	100	660	99.091	1258
lcl|NC_000913.3_prot_NP_414696.1_155	lcl|NC_017632.1_prot_WP_000045295.1_4611	426	426	100	100	426	99.296	863
lcl|NC_000913.3_prot_NP_414697.1_157	lcl|NC_017632.1_prot_WP_000845407.1_4612	473	473	100	100	473	99.577	936
lcl|NC_000913.3_prot_YP_009518738.1_158	lcl|NC_017632.1_prot_WP_120795373.1_4613	21	21	100	100	21	100.000	44.3
lcl|NC_000913.3_prot_NP_414698.1_159	lcl|NC_017632.1_prot_WP_001295564.1_4614	114	114	100	100	114	100.000	233
lcl|NC_000913.3_prot_NP_414699.1_160	lcl|NC_017632.1_prot_WP_000964221.1_4615	207	207	100	100	207	100.000	406
lcl|NC_000913.3_prot_NP_414700.1_161	lcl|NC_017632.1_prot_WP_001298427.1_4616	266	266	100	100	266	99.624	531
lcl|NC_000913.3_prot_NP_414701.1_162	lcl|NC_017632.1_prot_WP_000689844.1_4617	232	232	100	100	232	100.000	469
lcl|NC_000913.3_prot_NP_414702.1_163	lcl|NC_017632.1_prot_WP_000057086.1_4618	505	505	100	100	505	98.812	1036
lcl|NC_000913.3_prot_NP_414703.1_164	lcl|NC_017632.1_prot_WP_000753936.1_4619	474	474	100	100	474	99.367	940
lcl|NC_000913.3_prot_NP_414704.4_165	lcl|NC_017632.1_prot_WP_000046052.1_4620	385	376	98	100	376	99.734	759
lcl|NC_000913.3_prot_NP_414705.1_166	lcl|NC_017632.1_prot_WP_000272188.1_4621	128	128	100	100	128	100.000	258
lcl|NC_000913.3_prot_NP_414708.1_168	lcl|NC_017632.1_prot_WP_001186656.1_4622	274	274	100	100	274	99.635	559
lcl|NC_000913.3_prot_NP_414709.1_169	lcl|NC_017632.1_prot_WP_001094597.1_4623	890	890	100	100	890	99.438	1819
lcl|NC_000913.3_prot_NP_414710.1_170	lcl|NC_017632.1_prot_WP_001018194.1_4624	264	264	100	100	264	100.000	544
lcl|NC_000913.3_prot_NP_414711.1_171	lcl|NC_017632.1_prot_WP_000246882.1_4625	241	241	100	100	241	100.000	498
lcl|NC_000913.3_prot_NP_414712.1_172	lcl|NC_017632.1_prot_WP_000818114.1_4626	283	283	100	100	283	100.000	563
lcl|NC_000913.3_prot_NP_414713.1_173	lcl|NC_017632.1_prot_WP_000224573.1_4627	241	241	100	100	241	100.000	490
lcl|NC_000913.3_prot_NP_414714.1_174	lcl|NC_017632.1_prot_WP_000622418.1_4628	185	185	100	100	185	100.000	367
lcl|NC_000913.3_prot_NP_414715.1_175	lcl|NC_017632.1_prot_WP_000811911.1_4629	398	398	100	100	398	99.749	823
lcl|NC_000913.3_prot_NP_414716.1_176	lcl|NC_017632.1_prot_WP_001295562.1_4630	253	252	99	100	252	100.000	523
lcl|NC_000913.3_prot_NP_414717.2_177	lcl|NC_017632.1_prot_WP_000922441.1_4631	285	285	100	100	285	98.947	558
lcl|NC_000913.3_prot_NP_414718.1_178	lcl|NC_017632.1_prot_WP_001298422.1_4632	450	450	100	100	450	99.778	900
lcl|NC_000913.3_prot_NP_414719.1_179	lcl|NC_017632.1_prot_WP_001240896.1_4633	810	810	100	100	810	100.000	1664
lcl|NC_000913.3_prot_NP_414720.1_180	lcl|NC_017632.1_prot_WP_000758956.1_4634	161	161	100	100	161	100.000	319
lcl|NC_000913.3_prot_NP_414721.1_181	lcl|NC_017632.1_prot_WP_001139272.1_4635	341	341	100	100	341	99.120	689
lcl|NC_000913.3_prot_NP_414722.1_182	lcl|NC_017632.1_prot_WP_000210739.1_4636	151	151	100	100	151	100.000	307
lcl|NC_000913.3_prot_NP_414723.1_183	lcl|NC_017632.1_prot_WP_000565966.1_4637	262	262	100	100	262	100.000	533
lcl|NC_000913.3_prot_NP_414724.1_184	lcl|NC_017632.1_prot_WP_000139678.1_4638	382	382	100	100	382	98.953	774
lcl|NC_000913.3_prot_NP_414725.1_185	lcl|NC_017632.1_prot_WP_000569434.1_4639	198	198	100	100	198	98.485	395
lcl|NC_000913.3_prot_NP_414726.1_186	lcl|NC_017632.1_prot_WP_001294798.1_4640	1160	1160	100	100	1160	99.828	2380
lcl|NC_000913.3_prot_NP_414727.1_187	lcl|NC_017632.1_prot_WP_000055742.1_4641	319	319	100	100	319	99.687	647
lcl|NC_000913.3_prot_NP_414728.1_188	lcl|NC_017632.1_prot_WP_001021000.1_4642	713	713	100	100	713	99.158	1479
lcl|NC_000913.3_prot_NP_414729.4_189	lcl|NC_017632.1_prot_WP_000901083.1_4643	129	129	100	100	129	97.674	265
lcl|NC_000913.3_prot_NP_414730.1_190	lcl|NC_017632.1_prot_WP_000176515.1_4644	432	432	100	100	432	96.296	840
lcl|NC_000913.3_prot_NP_414731.2_191	lcl|NC_017632.1_prot_WP_000026223.1_4645	84	86	100	98	84	97.619	171
lcl|NC_000913.3_prot_YP_026160.1_192	lcl|NC_017632.1_prot_WP_000417059.1_4646	66	66	100	100	66	98.485	128
lcl|NC_000913.3_prot_NP_414732.1_193	lcl|NC_017632.1_prot_WP_001185283.1_4647	181	181	100	100	181	98.343	365
lcl|NC_000913.3_prot_NP_414733.1_194	lcl|NC_017632.1_prot_WP_000635525.1_4648	140	140	100	100	140	96.429	271
lcl|NC_000913.3_prot_NP_414734.1_195	lcl|NC_017632.1_prot_WP_000239186.1_4649	236	236	99	99	235	98.298	480
lcl|NC_000913.3_prot_NP_414735.4_196	lcl|NC_017632.1_prot_WP_000360464.1_4650	274	274	100	100	274	95.255	524
lcl|NC_000913.3_prot_NP_414736.1_197	lcl|NC_017632.1_prot_WP_001260694.1_4651	572	572	100	100	572	98.252	1157
lcl|NC_000913.3_prot_NP_414737.1_198	lcl|NC_017632.1_prot_WP_000094006.1_4652	235	235	100	100	235	99.574	483
lcl|NC_000913.3_prot_NP_414738.1_199	lcl|NC_017632.1_prot_WP_001202329.1_4653	134	134	100	100	134	100.000	272
lcl|NC_000913.3_prot_NP_414739.1_200	lcl|NC_017632.1_prot_WP_000874226.1_4654	271	271	100	100	271	100.000	541
lcl|NC_000913.3_prot_NP_414740.1_201	lcl|NC_017632.1_prot_WP_001294590.1_4655	217	217	100	100	217	99.078	416
lcl|NC_000913.3_prot_NP_414741.1_202	lcl|NC_017632.1_prot_WP_000593994.1_4656	343	343	100	100	343	99.708	705
lcl|NC_000913.3_prot_NP_414742.1_203	lcl|NC_017632.1_prot_WP_001140167.1_4657	191	190	99	100	190	98.421	394
lcl|NC_000913.3_prot_NP_414743.1_204	lcl|NC_017632.1_prot_WP_000997016.1_3199	267	267	100	100	267	97.378	531
lcl|NC_000913.3_prot_NP_414744.1_205	lcl|NC_017632.1_prot_WP_000648548.1_3198	304	304	100	100	304	98.355	606
lcl|NC_000913.3_prot_NP_414745.1_206	lcl|NC_017632.1_prot_WP_001230983.1_3197	266	266	100	100	266	100.000	549
lcl|NC_000913.3_prot_NP_414746.1_207	lcl|NC_017632.1_prot_WP_000211705.1_3196	207	256	99	80	205	94.146	395
lcl|NC_000913.3_prot_NP_414748.1_209	lcl|NC_017632.1_prot_WP_001052741.1_3194	251	251	100	100	251	98.805	521
lcl|NC_000913.3_prot_NP_414749.2_210	lcl|NC_017632.1_prot_WP_001295200.1_3193	240	240	100	100	240	99.167	491
lcl|NC_000913.3_prot_NP_414750.1_211	lcl|NC_017632.1_prot_WP_000917883.1_3192	155	155	100	100	155	100.000	326
lcl|NC_000913.3_prot_NP_414751.1_212	lcl|NC_017632.1_prot_WP_001308374.1_3191	243	243	100	100	243	99.177	502
lcl|NC_000913.3_prot_NP_414752.1_213	lcl|NC_017632.1_prot_WP_001049698.1_3190	261	261	100	100	261	81.226	445
lcl|NC_000913.3_prot_NP_414754.1_215	lcl|NC_017632.1_prot_WP_001118042.1_3165	256	256	100	100	256	99.219	529
lcl|NC_000913.3_prot_NP_414755.1_216	lcl|NC_017632.1_prot_WP_001308392.1_3164	157	148	94	100	148	100.000	308
lcl|NC_000913.3_prot_NP_414756.2_217	lcl|NC_017632.1_prot_WP_000973137.1_3163	814	814	100	100	814	99.386	1665
lcl|NC_000913.3_prot_NP_414757.1_218	lcl|NC_017632.1_prot_WP_000284050.1_3162	192	192	100	100	192	100.000	392
